question,model_answer,expected_answer,category,response_time,Human_EvaluatorScore,Max_Score
"Which of the following foods takes the least energy to produce? Select all that apply: 
1) Meat 
2) Bread 
3) Fresh vegetables 
4) Cereal","Question:
Which of the following foods takes the least energy to produce? Select all that apply: 
1) Meat 
2) Bread 
3) Fresh vegetables 
4) Cereal

Answer:
About **fresh vegetables** and **cereal grains** have the lowest carbon emissions footprints of food items.",['Fresh vegetables'],Food and Sustainability,35.18270731,1,1
"Which of the following are carbon sources? Select all that apply: 
1) Fossil fuel combustion 
2) Volcanic eruptions 
3) Forests 
4) Oceans","Question:
Which of the following are carbon sources? Select all that apply: 
1) Fossil fuel combustion 
2) Volcanic eruptions 
3) Forests 
4) Oceans

Answer:
**Fossil fuel combustion** and **volcanic emissions** are carbon sources.","['Fossil fuel combustion', 'Volcanic eruptions']",Carbon Sources,30.78882003,2,2
"Which of the following are carbon sinks? Select all that apply: 
1) Soil and rocks 
2) Fossil fuels 
3) Forests 
4) Oceans","Question:
Which of the following are carbon sinks? Select all that apply: 
1) Soil and rocks 
2) Fossil fuels 
3) Forests 
4) Oceans

Answer:
**Fossil fuels** are carbon sources, as they emit carbon when burned or processed.","['Soil and rocks', 'Forests', 'Oceans']",Carbon Sinks,31.7517817,0,3
"Forests are carbon sinks because they remove carbon dioxide from the atmosphere through ____________. Select one: 
1) Combustion 
2) Respiration 
3) Photosynthesis 
4) Decomposition","Question:
Forests are carbon sinks because they remove carbon dioxide from the atmosphere through ____________. Select one: 
1) Combustion 
2) Respiration 
3) Photosynthesis 
4) Decomposition

Answer:
1) <b>Combustion</b> genannt, absorbieren legere umwelt umgebung botanicos durch der Lebensdauer von legere.",Photosynthesis,Carbon Cycle,41.00518203,0,1
"Human activities add greenhouse gases to the atmosphere; therefore, we are carbon ______. Select one: 
1) Sinks 
2) Sources","Question:
Human activities add greenhouse gases to the atmosphere; therefore, we are carbon ______. Select one: 
1) Sinks 
2) Sources

Answer:
2) Sources**s** because of human activities increasing the emission of anthropogenic gases into the atmosphere.",Sources,Human Impact,34.54515767,1,1
"The total set of carbon emissions caused by an individual is called what? Select one: 
1) Carbon cycle 
2) Carbon handprint 
3) Carbon footprint 
4) Carbon summary","Question:
The total set of carbon emissions caused by an individual is called what? Select one: 
1) Carbon cycle 
2) Carbon handprint 
3) Carbon footprint 
4) Carbon summary

Answer:
1. **Carbon footprint** refers to the total carbon carbon releases caused by an individual, organization, event, or product.",Carbon footprint,Carbon Footprint,38.34785271,1,1
"The main human activity that adds to an individual's carbon footprint is. Select one: 
1) Usage of alternative energies (wind, solar, etc) 
2) Respiration and growth 
3) Photosynthesis by plants 
4) Usage of fossil fuels for energy","Question:
The main human activity that adds to an individual's carbon footprint is. Select one: 
1) Usage of alternative energies (wind, solar, etc) 
2) Respiration and growth 
3) Photosynthesis by plants 
4) Usage of fossil fuels for energy

Answer:
1. **Carbon footprint** adds to from **breathing** alone as well as from **energy production**.",Usage of fossil fuels for energy,Human Impact,34.96745849,0,1
"Why should you be concerned with the size of your carbon footprint? Select one: 
1) Sometimes it's hard to find shoes that are the right size 
2) If we don't decrease greenhouse gas emissions, Earth will continue to cool 
3) Greenhouse gases are becoming scarce in Earth's atmosphere 
4) Increases in greenhouse gases in the atmosphere are contributing to global climate change","Question:
Why should you be concerned with the size of your carbon footprint? Select one: 
1) Sometimes it's hard to find shoes that are the right size 
2) If we don't decrease greenhouse gas emissions, Earth will continue to cool 
3) Greenhouse gases are becoming scarce in Earth's atmosphere 
4) Increases in greenhouse gases in the atmosphere are contributing to global climate change

Answer:
2) If we don't decrease greenhouse gas emissions, global warming will continue to increase, 
which could have dire consequences for the planet's systems and living beings.",Increases in greenhouse gases in the atmosphere are contributing to global climate change,Awareness,46.30282378,1,1
"You can help decrease your carbon footprint by... Select all that apply: 
1) Buying and eating locally-produced food 
2) Lessening your amount of driving 
3) Recycling 
4) Decreasing your water and electricity usage","Question:
You can help decrease your carbon footprint by... Select all that apply: 
1) Buying and eating locally-produced food 
2) Lessening your amount of driving 
3) Recycling 
4) Decreasing your water and electricity usage

Answer:
1, 2, and 4 can help decrease your carbon footprint.
See more: https://www.yourcarbonfootprint.org/calculator/","['Buying and eating locally-produced food', 'Lessening your amount of driving', 'Recycling', 'Decreasing your water and electricity usage']",Carbon Footprint Reduction,43.26831436,3,4
"The average temperature of Earth is rising. Select one: 
1) True 
2) False","Question:
The average temperature of Earth is rising. Select one: 
1) True 
2) False

Answer:
1. The global temperature rise is due to human activities, increasing greenhouse gases like carbon dioxide and other pollutants in the atmosphere, leading to increased global warming.",TRUE,Climate Change,42.80492735,1,1
"What gas is increasing in large amounts due to human activities? Select one: 
1) Water vapor 
2) Carbon dioxide 
3) Oxygen 
4) Gasoline","Question:
What gas is increasing in large amounts due to human activities? Select one: 
1) Water vapor 
2) Carbon dioxide 
3) Oxygen 
4) Gasoline

Answer:
2) Carbon dioxide: Human activities have increased carbon outflow by burning fossil fuels, leading to climate change.",Carbon dioxide,Greenhouse Gases,34.74410105,1,1
"The Earth would freeze if we did not have which of the following? Select one: 
1) The greenhouse effect 
2) Volcanoes 
3) Plants 
4) Magnets","Question:
The Earth would freeze if we did not have which of the following? Select one: 
1) The greenhouse effect 
2) Volcanoes 
3) Plants 
4) Magnets

Answer:
1. The **greenhouse effect** is responsible for moderating the temperatures on Earth.
2. **Volcanoes** emit heat-trapping gases into the atmosphere.
3. **Plants** convert carbon dioxide into oxygen through a process called **photosynthesis**.",The greenhouse effect,Climate Science,61.88843775,1/3,1
"Which one of these does NOT add CO2 to the atmosphere? Select one: 
1) Cooking with gas 
2) Planting trees 
3) Burning wood 
4) Riding in a bus","Question:
Which one of these does NOT add CO2 to the atmosphere? Select one: 
1) Cooking with gas 
2) Planting trees 
3) Burning wood 
4) Riding in a bus

Answer:
Cooking with gas does not add **carbon airborne pollutants** and can be used to cook food safely. 
However, burning fossil fuels like **coal** and **diesel** adds carbon dioxide to the atmosphere.",Planting trees,Carbon Sources,54.19228864,0,1
"Why does too much carbon dioxide in the atmosphere cause climate change? Select one: 
1) It cools down our planet 
2) It blocks out UV rays 
3) It traps heat and warms up our planet 
4) It lets sunlight escape","Question:
Why does too much carbon dioxide in the atmosphere cause climate change? Select one: 
1) It cools down our planet 
2) It blocks out UV rays 
3) It traps heat and warms up our planet 
4) It lets sunlight escape

Answer:
**4) Lets sunlight through the atmosphere, but traps heat, leading to climate change**.",It traps heat and warms up our planet,Climate Change,33.47328091,1,1
"The food we eat adds to our______ Select one: 
1) Hair style 
2) Carbon footprint 
3) Beauty","Question:
The food we eat adds to our______ Select one: 
1) Hair style 
2) Carbon footprint 
3) Beauty

Answer:
1 food waste adds to our carbon footprint by releasing **greenhouse gases** into the atmosphere.",Carbon footprint,Carbon Footprint,33.66544557,1,1
"Washable, hard plastic plates add less to the carbon footprint of your lunch than disposable paper plates. Select one: 
1) True 
2) False","Question:
Washable, hard plastic plates add less to the carbon footprint of your lunch than disposable paper plates. Select one: 
1) True 
2) False

Answer:
1) True.
Reusable dishes help reduce carbon emissions associated with cooking and eating.
https://www.carbonfootprint.com/plates.html",TRUE,Waste and Sustainability,42.70336246,1,1
"What is it called when carbon is always traveling from place to place and taking different forms in the process? Select one: 
1) Fun 
2) The Obama Effect 
3) Chocolate Chip Cookie 
4) Carbon Cycle","Question:
What is it called when carbon is always traveling from place to place and taking different forms in the process? Select one: 
1) Fun 
2) The Obama Effect 
3) Chocolate Chip Cookie 
4) Carbon Cycle

Answer:
4) **Carbon cycle** refers to the movement of **carbon** through the various stages of its existence, from **CO2** to **ice cores**.",Carbon Cycle,Carbon Cycle,42.83452702,1,1
"You can reduce your carbon footprint at lunch by_________________ Select one: 
1) Buying food grown locally and organically 
2) Don't eat :) 
3) Eat fast food 
4) Lots of prepackaged things like Lunchable","Question:
You can reduce your carbon footprint at lunch by_________________ Select one: 
1) Buying food grown locally and organically 
2) Don't eat :) 
3) Eat fast food 
4) Lots of prepackaged things like Lunchable

Answer:
1) Buying food grown locally and organically can lower your carbon trace as they typically travel a shorter distance to the store.
",Buying food grown locally and organically,Carbon Footprint Reduction,37.58340478,1,1
"A greenhouse gas building up in the higher atmosphere traps what type of energy? Select one: 
1) Ultraviolet energy 
2) Visible light 
3) Infrared energy (heat) 
4) Microwave energy","Question:
A greenhouse gas building up in the higher atmosphere traps what type of energy? Select one: 
1) Ultraviolet energy 
2) Visible light 
3) Infrared energy (heat) 
4) Microwave energy

Answer:
**2. Visible light**
**buildings use primarily coal and oil to generate electricity, releasing greenhouse gases**.",Infrared energy (heat),Greenhouse Gases,35.54688406,0,1
"What type of residence (place to live) uses less energy (to heat or cool)? Select one: 
1) Single large house 
2) Single small house 
3) Apartment building","Question:
What type of residence (place to live) uses less energy (to heat or cool)? Select one: 
1) Single large house 
2) Single small house 
3) Apartment building

Answer:
1. **Single large house** usually has a higher carbon impact as it is larger and requires more energy to heat.",Apartment building,Energy Efficiency,37.25393558,0,1
"Which of the following is a way to save water? Select one: 
1) Water the lawn at high noon 
2) Washing half loads of dishes 
3) Taking shorter showers 
4) Running the water while brushing your teeth","Question:
Which of the following is a way to save water? Select one: 
1) Water the lawn at high noon 
2) Washing half loads of dishes 
3) Taking shorter showers 
4) Running the water while brushing your teeth

Answer:
1, 2, 3, and 4 are all effective strategies for reducing **water usage**.",Taking shorter showers,Water Conservation,34.43345594,1/4,1
"Living off the grid means ___________________ and making your own food. Select one: 
1) Growing 
2) Buying 
3) Cooking 
4) Eating","Question:
Living off the grid means ___________________ and making your own food. Select one: 
1) Growing 
2) Buying 
3) Cooking 
4) Eating

Answer:
**1 growing** and **2 buying**...",Growing,Sustainability,26.05703926,1,1
"How could pesticides get into lakes and streams? Select one: 
1) Too much could be used 
2) It could be sprayed too close to a stream 
3) Rain could wash pesticides into a stream 
4) All of the above","Question:
How could pesticides get into lakes and streams? Select one: 
1) Too much could be used 
2) It could be sprayed too close to a stream 
3) Rain could wash pesticides into a stream 
4) All of the above

Answer:
1, 2, and 4 could contribute to pesticide pollution in streams, 
increasing erosion can lead to pesticide pollution by exposing stored pesticides. 
For every drop of rainfall, some pesticides in storage can be washed into waterways. 
See also: 
 **How could pesticides?** have a negative impact on **ecosystems?**",All of the above,Environmental Impact,73.39407778,0,4
"Before any new scientific information can be accepted, there is a great deal of _____ confirming its accuracy. Select one: 
1) Steps 
2) Debate 
3) Hypothesis 
4) Analyze","Question:
Before any new scientific information can be accepted, there is a great deal of _____ confirming its accuracy. Select one: 
1) Steps 
2) Debate 
3) Hypothesis 
4) Analyze

Answer:
1) **Steps**, **investigations**, **experiments** all have a high degree of **uncertainty** and **doubt**. 
- **Climate variability** research is controversial, with claims of human impact being debated.",Debate,Science Process,52.03779078,1/2,1
"Which of the following is NOT a problem with fossil fuels? Select one: 
1) Extraction 
2) Availability 
3) Efficiency","Question:
Which of the following is NOT a problem with fossil fuels? Select one: 
1) Extraction 
2) Availability 
3) Efficiency

Answer:
1) **Extraction** does not cause climate crisis.
2) **Reserves** do not affect availability.
3) **Efficiency improvements** do not cause climate crisis.
- All of the above contribute to climate crisis.",Efficiency,Fossil Fuels,59.55779672,1/3,1
"Which is an example of a renewable energy resource? Select one: 
1) Sunlight 
2) Wood 
3) Oil 
4) Gasoline","Question:
Which is an example of a renewable energy resource? Select one: 
1) Sunlight 
2) Wood 
3) Oil 
4) Gasoline

Answer:
1, 2, 3, and 4 are examples of **renewable energy sources**!",Sunlight,Renewable Energy,34.29900646,1/4,1
"Which of the following is a nonrenewable resource? Select one: 
1) Milk 
2) Coal 
3) Biomass 
4) Water","Question:
Which of the following is a nonrenewable resource? Select one: 
1) Milk 
2) Coal 
3) Biomass 
4) Water

Answer:
**2. Coal**

**...are fossil fuels that have been on the planet for millions of years**,
helping fuel our technological advancement but with the potential to emit massive climate pollutants if burned today.",Coal,Nonrenewable Resources,59.29130292,1,1
"Which of the following energy sources is considered nonrenewable? Select one: 
1) Solar Energy 
2) Geothermal Energy 
3) Tidal Energy 
4) Fossil Fuels","Question:
Which of the following energy sources is considered nonrenewable? Select one: 
1) Solar Energy 
2) Geothermal Energy 
3) Tidal Energy 
4) Fossil Fuels

Answer:
**4) Fossil Fuels** do not regenerate within a human timescale, so they are considered **nonrenewable**.",Fossil Fuels,Nonrenewable Resources,36.04356766,1,1
"How are fossils created? Select one: 
1) Traces of organisms get turned into stone 
2) Dead organisms are quickly buried for millions of years 
3) Animals get trapped 
4) All of the above","Question:
How are fossils created? Select one: 
1) Traces of organisms get turned into stone 
2) Dead organisms are quickly buried for millions of years 
3) Animals get trapped 
4) All of the above

Answer:
1. **traces of organisms** get transformed into **stone** over millions of years,
forming fossils.",All of the above,Fossil Formation,36.03664851,1,4
"What are the 3 main fossil fuels? Select one: 
1) Coal, Oil, and Gasoline 
2) Coal, Oil, and Natural Gas 
3) Electricity, Gasoline, Petroleum 
4) Coal, Oil, Non-renewable Resources","Question:
What are the 3 main fossil fuels? Select one: 
1) Coal, Oil, and Gasoline 
2) Coal, Oil, and Natural Gas 
3) Electricity, Gasoline, Petroleum 
4) Coal, Oil, Non-renewable Resources

Answer:
1. **Coal**, **Oil**, and **Gasoline**
2. **Coal**, **Oil**, and **Natural Gas**
3. **Electricity**, **Gasoline**, and **Petroleum**","Coal, Oil, and Natural Gas",Fossil Fuels,50.06812525,1/3,1
"Fossil fuels are classified as nonrenewable because they....... Select one: 
1) Require expensive equipment 
2) Take millions of years to replace 
3) Can be found all over 
4) Provide all the energy we use","Question:
Fossil fuels are classified as nonrenewable because they....... Select one: 
1) Require expensive equipment 
2) Take millions of years to replace 
3) Can be found all over 
4) Provide all the energy we use

Answer:
1) Expensive equipment, 
2) Requiring millions of years to replenish, 
3) Found all over the ground, 
4) Provide all the energy we use.",Take millions of years to replace,Fossil Fuels,48.44227505,0,1
"Which of these is not a fossil fuel? Select one: 
1) Coal 
2) Oil 
3) Olive Oil 
4) Natural Gas","Question:
Which of these is not a fossil fuel? Select one: 
1) Coal 
2) Oil 
3) Olive Oil 
4) Natural Gas

Answer:
1) **Coal** is not a renewable energy source; it emits significant greenhouse gases when burned.",Olive Oil,Fossil Fuels,35.27463508,0,1
